date,Deaths
1933,318.19
1934,342.31
1935,349.54
1936,354.64
1937,359.16
1938,361.77
1939,439.69
1940,470.55
1941,388.92
1942,369.74
1943,296.43
1944,302.71
1945,397.63
1946,385.61
1947,401.21
1948,396.89
1949,375.04
1950,358.49
1951,360.62
1952,349.31
1953,345
1954,341.73
1955,357.92
1956,352.94
1957,346.9
1958,339.91
1959,340.13
1960,343.61
1961,346.68
1962,347.73
1963,351.33
1964,359.31
1965,371.13
1966,384.5
1967,386.05
1968,407.82
1969,396.75
1970,415.49
1971,404.74
1972,426.24
1973,400.44
1974,384.39
1975,380.62
1976,358.57
1977,356.95
1978,368.26
1979,368.85
1980,370.02
1981,351.97
1982,342.17
1983,344.33
1984,349.19
1985,346.39
1986,347.92
1987,351.76
1988,348.49
1989,346.7
1990,331.15
1991,306.76
1992,311.56
1993,299.2
1994,291.07
1995,283.01
1996,278.98
1997,272.54
1998,267.3
1999,263.52
2000,267.96
2001,249.23
2002,255.6
2003,270.11
2004,273.07
2005,247.81
2006,239.45
2007,235.37
2008,235.79
2009,232.44
2010,243.81
2011,249.13
2012,263.64
2013,0
