date,Per_Im_G_Non-EU ,Per_Im_G_EU ,Val_Im_G_Non-EU ,Val_Im_G_EU 
1999,44,56,113.72,144.6
2000,46.2,53.8,133.848,156.161
2001,44.5,55.5,135.162,168.839
2002,41.8,58.2,130.709,182.047
2003,41.9,58.1,135.335,187.959
2004,42.8,57.2,146.31,195.239
2005,43.1,56.9,162.888,214.816
2006,43.4,56.6,184.862,241.055
2007,45.6,54.4,191.673,228.677
2008,47.6,52.4,222.195,245.057
2009,48.5,51.5,210.045,223.28
2010,49.3,50.7,240.271,247.146
2011,49.5,50.5,258.977,264.312
2012,49.1,50.9,263.23,272.387
2013,48.4,51.6,268.819,286.453
2014,47.2,52.8,258.434,289.067
2015,46.9,53.1,257.112,291.108
