date,010000Food & Non-alcoholic beverages,010106APPLES DESSERT PER KG,010106BANANAS PER KG,010101BREAKFAST CEREAL 1,010101BREAKFAST CEREAL 2,010104CHEDDAR HOME PRODUCED PER KG,010202COLA FLAVOURED DRINK 2 LTR BTL,010101DRY SPAGHETTI OR PASTA 500G,010107FRESH VEG ONIONS PER KG,010107FRESH VEG TOMATOES PER KG,010202FRESH_CHILLED ORANGE JUICE 1L,010202FRUIT JUICE NOT ORANGE 1L,010106GRAPES PER KG,010101PLAIN BISCUITS 200-300G,010107POTATOES NEW PER KG,010107POTATOES OLD WHITE PER KG,010104SHOP MILK WHOLE MILK 4PT_2LTR,010104SHOP MILK SEMI SKIMMED,010105SPREADABLE BUTTER 40-70% BUTTER,010106STRAWBERRIES PER KG OR PUNNET,010201TEA BAGS 1 PACKET OF 80 (250G),010101WHITE SLICED LOAF BRANDED 800G,010101WHOLEMEAL SLICED LOAF BRANDED,010104YOGHURT SMALL INDIVIDUAL,"010104YOGHURT_FROMAGE 4-6PK, 50-125G",020000Alcoholic beverages,020102APPLE CIDER 500-750ML 4.5-5.5%,020103BITTER 4 CANS 440-500ML,020101BRANDY 68-70 CL BOTTLE,020103LAGER 4 BOTTLES PREMIUM,020102RED WINE EUROPEAN 75CL,020101RUM WHITE BOTTLE,020101VODKA 70 CL BOTTLE,020101WHISKY 70 CL BOTTLE,020102WHITE WINE EUROPEAN 75CL
Jun-14,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
Jul-14,99.98,101.28,108.87,100.23,99.14,99.49,100.85,100.20,100.80,100.34,98.70,99.42,97.38,100.83,100.00,97.43,99.52,99.48,98.51,96.72,101.53,99.80,99.56,100.17,101.90,100.57,100.64,100.27,101.81,99.71,100.05,99.91,99.96,103.59,100.08
Aug-14,99.55,101.00,108.87,99.82,98.44,98.74,99.70,105.01,100.71,101.24,98.74,99.96,95.10,100.72,98.07,97.73,99.37,99.31,98.84,94.49,100.07,98.82,99.89,101.53,98.25,100.44,99.92,99.89,101.75,100.00,99.81,100.80,99.18,103.72,100.05
Sep-14,99.19,98.48,108.87,101.30,98.18,98.82,99.04,104.68,98.95,101.41,97.89,97.35,92.92,101.12,97.23,98.29,97.93,98.11,99.03,102.46,99.47,97.26,98.68,100.60,95.43,99.51,99.77,100.21,101.17,100.23,98.21,100.75,98.56,100.85,98.46
Oct-14,99.27,98.41,101.37,100.22,99.30,94.53,97.65,102.53,100.66,100.61,96.21,95.50,95.79,101.03,98.15,97.58,98.03,98.28,98.50,120.36,100.54,97.98,94.92,100.63,95.84,99.77,99.45,99.69,101.69,98.78,99.30,101.00,100.03,101.53,99.59
Nov-14,100.58,97.88,100.41,102.25,100.76,96.01,96.32,99.95,102.25,98.02,96.53,97.99,100.56,101.25,96.93,94.32,98.25,98.26,97.24,149.55,99.99,96.85,96.82,101.33,98.89,98.30,98.99,98.32,100.02,97.02,98.76,97.97,96.26,99.59,99.04
Dec-14,100.68,98.79,100.02,102.22,99.34,95.21,94.86,95.23,101.14,97.11,96.93,99.30,107.39,101.65,91.35,93.41,98.01,97.08,97.63,161.66,95.44,96.84,98.64,101.40,99.56,96.66,97.37,97.54,97.57,96.02,96.72,97.03,94.79,96.11,98.00
Jan-15,98.04,98.88,99.77,102.34,98.95,95.59,91.72,92.36,101.33,91.91,96.41,98.58,100.09,102.35,87.14,92.91,97.96,96.69,97.16,146.23,99.74,88.46,94.48,101.18,76.64,98.42,96.46,96.75,101.48,95.39,99.04,101.56,100.12,102.66,99.27
Feb-15,97.57,98.79,95.63,100.80,99.54,93.78,91.85,95.13,97.75,97.97,96.36,97.49,95.50,102.14,84.25,94.83,97.72,95.54,96.78,126.27,100.29,86.98,93.84,100.90,98.12,98.69,97.86,97.73,101.86,96.77,98.23,101.22,99.43,103.15,98.38
Mar-15,97.45,99.23,95.34,99.98,99.22,95.93,95.22,95.95,96.80,97.70,94.01,97.69,95.24,102.30,82.14,94.67,97.02,95.37,96.48,123.10,99.09,91.18,93.42,101.04,97.16,98.05,96.58,93.41,102.02,95.15,98.58,100.24,99.45,102.95,98.61
Apr-15,97.54,101.01,95.69,101.93,99.99,94.93,97.01,95.88,96.80,96.08,95.89,97.70,96.73,101.76,84.28,95.01,97.07,95.38,94.75,116.71,101.35,90.77,91.51,101.26,97.53,96.72,95.49,91.04,101.26,93.82,97.03,99.16,97.34,102.47,97.19
May-15,97.35,102.64,95.97,101.44,98.46,94.87,99.27,95.66,97.40,94.97,94.39,96.84,98.53,101.94,85.37,95.49,97.01,95.27,97.07,113.13,98.39,90.44,90.86,101.01,98.11,97.88,98.27,96.15,102.44,95.89,97.46,100.35,99.03,101.58,96.80
Jun-15,97.25,102.61,96.20,101.72,98.15,94.99,96.17,94.26,96.96,95.07,95.90,97.36,100.50,101.79,86.00,97.23,96.94,94.86,95.71,109.33,99.32,90.31,90.80,100.82,98.44,97.31,97.90,96.42,101.71,95.49,97.47,99.94,99.27,99.14,95.96
Jul-15,96.47,102.99,96.37,99.91,96.06,94.27,95.34,93.25,97.86,95.32,96.76,97.41,96.24,102.63,88.67,97.98,96.55,94.82,96.05,99.13,98.65,87.86,89.11,99.69,98.16,97.31,97.55,95.71,102.16,94.89,96.14,99.50,99.31,102.41,96.19
Aug-15,95.85,102.13,96.16,97.71,97.27,93.73,97.41,94.71,97.18,94.15,94.45,95.76,93.89,102.46,84.55,97.80,95.82,94.39,95.28,101.99,96.60,87.28,87.99,98.92,95.92,96.68,95.61,97.03,101.13,94.32,96.01,98.21,98.35,102.62,95.70
Sep-15,94.89,101.05,96.29,97.19,93.31,91.98,92.01,90.29,96.72,95.48,92.39,97.53,91.55,97.02,88.88,95.00,95.93,94.79,96.63,107.62,97.43,87.28,86.64,97.88,92.05,95.40,96.62,94.78,101.79,93.89,93.29,98.56,98.15,100.61,92.06
Oct-15,95.43,96.54,96.20,97.95,96.18,91.93,99.20,90.94,96.66,95.50,93.15,90.57,94.83,96.52,88.05,96.67,96.25,94.07,95.32,116.51,95.84,86.77,86.60,97.09,89.83,95.01,96.04,94.04,101.38,93.94,91.98,100.22,97.63,101.14,91.29
Nov-15,96.54,97.02,96.59,98.63,96.99,89.49,96.90,90.27,94.36,94.66,94.49,88.94,96.41,95.35,88.88,93.98,96.06,95.73,93.53,154.42,95.82,84.49,84.95,98.84,90.09,93.60,96.42,93.73,99.14,92.25,91.30,96.48,94.40,96.80,91.24
Dec-15,96.18,96.93,96.70,97.51,94.00,88.53,95.11,86.76,93.71,94.19,94.73,88.94,96.77,90.76,87.64,93.74,96.63,95.62,92.71,158.73,97.60,84.39,85.14,99.71,94.21,90.51,94.86,93.15,96.84,91.41,85.25,92.64,89.79,92.40,87.61
Jan-16,94.51,97.89,96.80,93.81,88.69,87.62,95.38,86.01,93.84,94.84,94.12,88.94,94.76,93.22,86.77,94.60,95.38,95.52,93.88,133.87,96.03,84.14,84.89,98.88,86.71,93.96,95.90,91.45,100.83,93.49,88.86,99.76,98.42,100.86,89.40
Feb-16,94.83,98.33,96.89,96.90,91.49,88.82,97.16,92.56,93.29,95.28,92.12,88.94,91.07,92.76,88.88,95.87,96.49,95.43,93.55,122.41,100.57,83.81,84.04,100.56,92.65,93.29,95.82,91.35,100.70,93.59,87.47,97.62,97.50,99.89,88.30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
