spine,Cancer,Circulatory (eg Heart disease),Respiratory (eg Influenza),Mental and behavioural (eg Dementia),Nervous (eg Parkinson disease),Digestive (eg Reflux),External (eg Car accident),Genitourinary (eg Chronic Kidney disease),Infection (eg Malaria),Musculoskeletal (eg Arthritis),Endocrine and nutritional (eg Diabetes),Other
100,210,1269,1028,774,154,91,116,142,38,41,54,1347
99,129,682,446,439,108,49,60,66,20,17,30,392
98,186,820,508,619,141,79,70,105,35,26,42,399
97,212,995,617,723,187,95,73,101,34,33,36,429
96,325,1262,787,992,253,136,104,97,31,51,64,533
95,603,2181,1246,1637,404,244,140,210,64,74,77,753
94,847,2689,1497,1915,600,286,214,209,100,106,120,777
93,967,2786,1579,1929,645,371,218,246,101,103,110,701
92,1090,3001,1590,2058,695,389,236,239,122,102,137,629
91,1325,3054,1743,2020,710,414,233,229,117,108,147,593
90,1503,3285,1747,2159,742,416,241,291,125,108,139,550
89,1664,3311,1747,2091,776,466,257,243,109,110,147,425
88,1781,3211,1727,1938,806,485,238,275,119,146,141,398
87,1913,3113,1632,1811,788,495,234,263,134,111,144,339
86,1984,3181,1593,1610,763,493,242,225,126,126,169,298
85,2132,3013,1681,1443,714,451,226,254,135,108,160,264
84,2218,2809,1557,1343,734,477,229,232,111,112,158,217
83,2189,2509,1436,1127,676,454,196,199,105,90,147,158
82,2159,2308,1260,934,576,384,164,189,110,90,131,108
81,2225,2068,1172,808,536,362,164,152,95,72,122,121
80,2182,1907,1118,647,451,373,150,140,91,79,121,123
79,2102,1724,1036,501,441,327,150,126,80,81,106,67
78,2071,1552,925,455,352,286,120,104,87,71,87,57
77,2080,1363,837,351,324,274,113,101,59,60,92,50
76,1993,1295,827,313,300,258,102,67,71,68,87,48
75,1921,1105,754,220,248,229,69,74,60,55,61,32
74,1715,1013,631,172,214,227,81,60,62,40,50,58
73,1799,938,625,153,192,204,60,58,46,48,51,48
72,1743,830,573,116,190,232,89,60,44,36,57,31
71,1747,839,546,95,206,218,82,50,42,31,54,44
70,1710,713,518,79,172,162,53,54,31,38,46,44
69,1611,613,454,50,141,190,62,46,36,20,42,32
68,1929,716,491,57,167,207,68,43,30,39,54,43
67,1616,574,425,42,139,167,80,36,37,32,40,46
66,1451,495,317,36,102,162,60,27,30,25,45,40
65,1241,443,308,31,92,144,60,18,33,14,37,46
64,1127,390,261,19,78,131,54,20,22,16,36,31
63,1090,358,227,17,81,138,61,23,19,14,34,34
62,994,347,218,10,73,139,50,18,18,13,28,21
61,926,283,181,13,76,130,53,13,28,10,28,31
60,883,267,176,5,68,115,79,8,17,14,23,38
59,809,274,132,16,61,126,58,13,14,15,24,28
58,734,201,119,9,54,122,56,12,22,12,22,20
57,692,206,114,4,48,106,63,15,18,4,20,29
56,679,176,94,7,56,121,62,10,11,5,16,19
55,632,180,78,11,52,99,67,4,13,8,15,27
54,610,168,80,6,38,99,81,8,12,10,17,24
53,578,167,82,6,34,94,80,9,12,9,26,23
52,488,152,61,4,42,113,58,8,24,8,22,31
51,452,133,67,10,37,83,86,5,8,7,23,18
50,391,142,73,5,36,89,78,11,13,6,13,24
49,383,114,45,7,30,75,64,5,12,5,22,15
48,349,112,33,7,29,74,72,2,9,3,18,15
47,287,97,33,5,24,74,72,2,11,3,18,18
46,279,92,39,6,14,69,85,5,12,7,10,16
45,233,82,29,0,15,80,69,10,8,1,18,21
44,191,78,25,3,12,53,81,7,14,7,10,14
43,171,67,29,6,14,47,58,5,6,3,9,11
42,159,52,16,4,17,54,83,2,5,2,15,20
41,134,33,12,1,6,55,44,1,5,5,8,18
40,125,50,12,1,10,46,53,4,3,4,5,14
39,98,31,7,3,5,36,73,0,9,6,10,10
38,104,32,18,2,8,33,51,0,1,1,7,9
37,92,26,13,3,8,28,51,0,5,3,9,8
36,101,26,12,5,11,23,55,0,3,1,7,4
35,74,26,4,2,13,22,56,1,3,0,10,7
34,65,25,8,2,8,16,50,0,4,1,3,8
33,53,20,4,4,10,13,46,0,2,2,6,7
32,58,14,2,4,6,12,57,0,5,1,7,6
31,34,22,4,6,8,13,38,0,5,1,1,7
30,36,18,7,3,5,8,41,1,7,3,7,10
29,42,16,6,1,8,3,61,0,0,0,2,8
28,31,8,2,3,6,5,40,0,3,2,7,4
27,23,7,4,0,4,4,37,0,4,0,6,8
26,18,4,4,1,8,7,48,2,2,1,7,8
25,20,10,7,2,3,3,29,1,3,1,4,6
24,14,11,4,2,5,1,31,2,1,2,1,5
23,19,7,4,0,7,4,39,0,2,0,6,6
22,9,5,2,1,3,3,33,1,0,2,6,6
21,9,5,5,1,6,2,29,0,0,0,3,2
20,13,2,5,0,4,2,32,1,0,1,7,7
19,11,1,2,0,12,0,34,1,1,0,10,7
18,12,3,8,0,7,2,31,0,1,0,3,3
17,10,4,1,0,6,0,21,1,1,0,4,2
16,10,2,2,0,4,1,22,0,2,0,2,4
15,6,2,3,0,11,3,14,0,2,0,4,5
14,6,2,4,1,5,0,10,0,0,0,4,3
13,9,2,4,1,3,1,9,0,1,0,1,6
12,6,0,2,0,3,0,4,1,0,0,2,4
11,3,1,2,0,2,1,2,0,1,1,0,4
10,3,1,2,0,4,1,1,1,2,0,0,3
9,7,0,2,0,3,2,3,0,1,0,3,2
8,12,4,3,1,2,0,0,0,0,1,2,2
7,7,2,4,0,3,1,6,0,2,1,0,3
6,2,1,2,0,2,1,8,0,1,0,3,4
5,5,0,5,0,2,1,3,0,3,0,0,5
4,4,0,2,1,5,2,4,0,2,0,2,4
3,9,2,5,0,1,0,5,1,8,1,3,6
2,7,3,4,0,8,1,3,1,3,0,5,9
1,5,9,12,0,10,0,14,1,10,1,4,26
0,6,15,15,0,33,5,23,2,17,1,4,222
